source,target,weight
mem::childhood_home,mem::school_corridor,0.9888
mem::childhood_home,mem::familiar_face,0.9824
mem::childhood_home,mem::recurring_journey,0.9927
mem::childhood_home,mem::falling,0.7247
mem::childhood_home,mem::being_chased,0.8334
mem::childhood_home,mem::flying,0.5157
mem::childhood_home,mem::being_late,0.8999
mem::childhood_home,mem::teeth_loosening,0.9308
mem::childhood_home,mem::cold_water,0.9539
mem::childhood_home,mem::bright_light,0.9023
mem::childhood_home,mem::loud_crowd,0.917
mem::childhood_home,mem::grief,0.6323
mem::childhood_home,mem::joy,0.2972
mem::childhood_home,mem::dread,0.5904
mem::childhood_home,mem::wonder,0.5807
mem::school_corridor,mem::familiar_face,0.9722
mem::school_corridor,mem::recurring_journey,0.9835
mem::school_corridor,mem::falling,0.7924
mem::school_corridor,mem::being_chased,0.8882
mem::school_corridor,mem::flying,0.47
mem::school_corridor,mem::being_late,0.9414
mem::school_corridor,mem::teeth_loosening,0.9682
mem::school_corridor,mem::cold_water,0.9414
mem::school_corridor,mem::bright_light,0.9043
mem::school_corridor,mem::loud_crowd,0.9691
mem::school_corridor,mem::grief,0.7317
mem::school_corridor,mem::joy,0.2543
mem::school_corridor,mem::dread,0.6857
mem::school_corridor,mem::wonder,0.5417
mem::familiar_face,mem::recurring_journey,0.9854
mem::familiar_face,mem::falling,0.5672
mem::familiar_face,mem::being_chased,0.7002
mem::familiar_face,mem::flying,0.6968
mem::familiar_face,mem::being_late,0.7931
mem::familiar_face,mem::teeth_loosening,0.8445
mem::familiar_face,mem::cold_water,0.8807
mem::familiar_face,mem::bright_light,0.9626
mem::familiar_face,mem::loud_crowd,0.9111
mem::familiar_face,mem::grief,0.5017
mem::familiar_face,mem::joy,0.4888
mem::familiar_face,mem::dread,0.4348
mem::familiar_face,mem::wonder,0.7586
mem::recurring_journey,mem::falling,0.6393
mem::recurring_journey,mem::being_chased,0.7653
mem::recurring_journey,mem::flying,0.6078
mem::recurring_journey,mem::being_late,0.8512
mem::recurring_journey,mem::teeth_loosening,0.8841
mem::recurring_journey,mem::cold_water,0.9464
mem::recurring_journey,mem::bright_light,0.9299
mem::recurring_journey,mem::loud_crowd,0.8924
mem::recurring_journey,mem::grief,0.5462
mem::recurring_journey,mem::joy,0.3982
mem::recurring_journey,mem::dread,0.4976
mem::recurring_journey,mem::wonder,0.6664
mem::falling,mem::being_chased,0.9755
mem::falling,mem::flying,0.5558
mem::falling,mem::being_late,0.9674
mem::falling,mem::teeth_loosening,0.9449
mem::falling,mem::cold_water,0.7151
mem::falling,mem::bright_light,0.4963
mem::falling,mem::loud_crowd,0.8049
mem::falling,mem::grief,0.9683
mem::falling,mem::dread,0.972
mem::being_chased,mem::flying,0.5377
mem::being_chased,mem::being_late,0.9808
mem::being_chased,mem::teeth_loosening,0.9842
mem::being_chased,mem::cold_water,0.8338
mem::being_chased,mem::bright_light,0.6507
mem::being_chased,mem::loud_crowd,0.8886
mem::being_chased,mem::grief,0.9472
mem::being_chased,mem::dread,0.9367
mem::flying,mem::being_late,0.6846
mem::flying,mem::teeth_loosening,0.6253
mem::flying,mem::cold_water,0.5077
mem::flying,mem::bright_light,0.7883
mem::flying,mem::loud_crowd,0.449
mem::flying,mem::joy,0.9598
mem::flying,mem::wonder,0.9948
mem::being_late,mem::teeth_loosening,0.9804
mem::being_late,mem::cold_water,0.9212
mem::being_late,mem::bright_light,0.7752
mem::being_late,mem::loud_crowd,0.9317
mem::being_late,mem::grief,0.8944
mem::being_late,mem::dread,0.8712
mem::being_late,mem::wonder,0.2973
mem::teeth_loosening,mem::cold_water,0.8938
mem::teeth_loosening,mem::bright_light,0.7839
mem::teeth_loosening,mem::loud_crowd,0.9546
mem::teeth_loosening,mem::grief,0.8669
mem::teeth_loosening,mem::dread,0.8384
mem::teeth_loosening,mem::wonder,0.3222
mem::cold_water,mem::bright_light,0.9401
mem::cold_water,mem::loud_crowd,0.9407
mem::cold_water,mem::grief,0.656
mem::cold_water,mem::joy,0.3483
mem::cold_water,mem::dread,0.6227
mem::cold_water,mem::wonder,0.5531
mem::bright_light,mem::loud_crowd,0.9483
mem::bright_light,mem::grief,0.4847
mem::bright_light,mem::joy,0.6387
mem::bright_light,mem::dread,0.4096
mem::bright_light,mem::wonder,0.8329
mem::loud_crowd,mem::grief,0.7992
mem::loud_crowd,mem::joy,0.2518
mem::loud_crowd,mem::dread,0.7422
mem::loud_crowd,mem::wonder,0.5247
mem::grief,mem::joy,0.3463
mem::grief,mem::dread,0.9967
mem::grief,mem::wonder,0.5256
mem::joy,mem::dread,0.292
mem::joy,mem::wonder,0.9604
mem::dread,mem::wonder,0.4754
