time_hours,node_id,node_label,activation
0.0,mem::familiar_face,familiar_face,0.3926
0.0,mem::being_chased,being_chased,0.3742
0.0,mem::falling,falling,0.3487
0.0,mem::bright_light,bright_light,0.3447
0.0,mem::grief,grief,0.3439
0.0,mem::loud_crowd,loud_crowd,0.3431
0.0,mem::being_late,being_late,0.3233
0.0,mem::wonder,wonder,0.294
0.0,mem::cold_water,cold_water,0.2896
0.0,mem::recurring_journey,recurring_journey,0.2618
0.0,mem::teeth_loosening,teeth_loosening,0.257
0.0,mem::school_corridor,school_corridor,0.2507
0.083333,mem::being_chased,being_chased,0.7882
0.083333,mem::falling,falling,0.7644
0.083333,mem::grief,grief,0.7598
0.083333,mem::loud_crowd,loud_crowd,0.7592
0.083333,mem::being_late,being_late,0.7406
0.083333,mem::cold_water,cold_water,0.7091
0.083333,mem::teeth_loosening,teeth_loosening,0.6786
0.083333,mem::school_corridor,school_corridor,0.6727
0.083333,mem::dread,dread,0.6585
0.083333,mem::childhood_home,childhood_home,0.55
0.083333,mem::familiar_face,familiar_face,0.5114
0.083333,mem::bright_light,bright_light,0.4666
0.166667,mem::being_chased,being_chased,0.7374
0.166667,mem::falling,falling,0.7152
0.166667,mem::grief,grief,0.7108
0.166667,mem::loud_crowd,loud_crowd,0.7103
0.166667,mem::being_late,being_late,0.6928
0.166667,mem::cold_water,cold_water,0.6634
0.166667,mem::teeth_loosening,teeth_loosening,0.6349
0.166667,mem::school_corridor,school_corridor,0.6293
0.166667,mem::dread,dread,0.6161
0.166667,mem::childhood_home,childhood_home,0.5145
0.166667,mem::familiar_face,familiar_face,0.4784
0.166667,mem::bright_light,bright_light,0.4365
0.25,mem::being_chased,being_chased,0.981
0.25,mem::falling,falling,0.9602
0.25,mem::grief,grief,0.9561
0.25,mem::loud_crowd,loud_crowd,0.9557
0.25,mem::being_late,being_late,0.9393
0.25,mem::cold_water,cold_water,0.9119
0.25,mem::teeth_loosening,teeth_loosening,0.8851
0.25,mem::school_corridor,school_corridor,0.8798
0.25,mem::dread,dread,0.8676
0.25,mem::childhood_home,childhood_home,0.7725
0.25,mem::familiar_face,familiar_face,0.4475
0.25,mem::bright_light,bright_light,0.4084
0.333333,mem::childhood_home,childhood_home,0.9672
0.333333,mem::school_corridor,school_corridor,0.9672
0.333333,mem::falling,falling,0.9672
0.333333,mem::being_chased,being_chased,0.9672
0.333333,mem::being_late,being_late,0.9672
0.333333,mem::teeth_loosening,teeth_loosening,0.9672
0.333333,mem::cold_water,cold_water,0.9672
0.333333,mem::loud_crowd,loud_crowd,0.9672
0.333333,mem::grief,grief,0.9672
0.333333,mem::dread,dread,0.9672
0.333333,mem::familiar_face,familiar_face,0.5676
0.333333,mem::bright_light,bright_light,0.531
0.416667,mem::childhood_home,childhood_home,0.9048
0.416667,mem::school_corridor,school_corridor,0.9048
0.416667,mem::falling,falling,0.9048
0.416667,mem::being_chased,being_chased,0.9048
0.416667,mem::being_late,being_late,0.9048
0.416667,mem::teeth_loosening,teeth_loosening,0.9048
0.416667,mem::cold_water,cold_water,0.9048
0.416667,mem::loud_crowd,loud_crowd,0.9048
0.416667,mem::grief,grief,0.9048
0.416667,mem::dread,dread,0.9048
0.416667,mem::familiar_face,familiar_face,0.6742
0.416667,mem::bright_light,bright_light,0.6399
0.5,mem::childhood_home,childhood_home,0.9802
0.5,mem::school_corridor,school_corridor,0.9802
0.5,mem::falling,falling,0.9802
0.5,mem::being_chased,being_chased,0.9802
0.5,mem::being_late,being_late,0.9802
0.5,mem::teeth_loosening,teeth_loosening,0.9802
0.5,mem::cold_water,cold_water,0.9802
0.5,mem::loud_crowd,loud_crowd,0.9802
0.5,mem::grief,grief,0.9802
0.5,mem::dread,dread,0.9802
0.5,mem::familiar_face,familiar_face,0.9268
0.5,mem::bright_light,bright_light,0.8947
0.583333,mem::familiar_face,familiar_face,1.0
0.583333,mem::flying,flying,1.0
0.583333,mem::bright_light,bright_light,1.0
0.583333,mem::joy,joy,1.0
0.583333,mem::wonder,wonder,1.0
0.583333,mem::childhood_home,childhood_home,0.9672
0.583333,mem::school_corridor,school_corridor,0.9672
0.583333,mem::falling,falling,0.9672
0.583333,mem::being_chased,being_chased,0.9672
0.583333,mem::being_late,being_late,0.9672
0.583333,mem::teeth_loosening,teeth_loosening,0.9672
0.583333,mem::cold_water,cold_water,0.9672
0.666667,mem::childhood_home,childhood_home,0.9544
0.666667,mem::school_corridor,school_corridor,0.9544
0.666667,mem::falling,falling,0.9544
0.666667,mem::being_chased,being_chased,0.9544
0.666667,mem::being_late,being_late,0.9544
