ach,cortisol,ne,serotonin,stage,time_hours
0.4864,0.34,0.3221,0.3618,N1,0.0
0.4775,0.3482,0.2989,0.3701,N1,0.008333
0.4731,0.3665,0.3075,0.3753,N1,0.016667
0.5252,0.3692,0.2715,0.3609,N1,0.025
0.5033,0.3239,0.3066,0.3741,N1,0.033333
0.4755,0.3889,0.3035,0.3534,N1,0.041667
0.5042,0.3312,0.2874,0.3268,N1,0.05
0.4888,0.317,0.3413,0.3782,N1,0.058333
0.4706,0.3609,0.32,0.3603,N1,0.066667
0.492,0.3751,0.3,0.3472,N1,0.075
0.499,0.3133,0.2993,0.3366,N1,0.083333
0.4925,0.3213,0.3103,0.3582,N1,0.091667
0.3143,0.3796,0.2203,0.2536,N3,0.1
0.3055,0.3418,0.143,0.2242,N3,0.108333
0.2925,0.3699,0.2023,0.2594,N3,0.116667
0.2819,0.3302,0.1852,0.2379,N3,0.125
0.2876,0.3074,0.2181,0.2202,N3,0.133333
0.3291,0.3686,0.1636,0.2048,N3,0.141667
0.4531,0.3317,0.2352,0.3453,N2,0.15
0.471,0.3338,0.3027,0.3443,N2,0.158333
0.4562,0.3274,0.2607,0.3028,N2,0.166667
0.4843,0.3278,0.2524,0.3278,N2,0.175
0.4423,0.3082,0.2678,0.3338,N2,0.183333
0.4575,0.3393,0.3071,0.3426,N2,0.191667
0.4867,0.3223,0.3164,0.3321,N2,0.2
0.4611,0.3677,0.2874,0.318,N2,0.208333
0.4247,0.3358,0.2756,0.3199,N2,0.216667
0.4462,0.3267,0.2841,0.33,N2,0.225
0.455,0.3009,0.2777,0.3353,N2,0.233333
0.4545,0.3342,0.2741,0.3715,N2,0.241667
0.4366,0.3435,0.3058,0.3196,N2,0.25
0.4482,0.341,0.2529,0.3209,N2,0.258333
0.4397,0.3237,0.2676,0.3006,N2,0.266667
0.437,0.3788,0.2889,0.3401,N2,0.275
0.4293,0.2755,0.2656,0.3457,N2,0.283333
0.4535,0.3194,0.3093,0.3024,N2,0.291667
0.4671,0.3181,0.2919,0.3634,N2,0.3
0.4475,0.3121,0.2934,0.361,N2,0.308333
0.4398,0.3308,0.2748,0.3146,N2,0.316667
0.4332,0.3192,0.2648,0.3636,N2,0.325
0.4186,0.3095,0.2941,0.3093,N2,0.333333
0.4728,0.3705,0.3057,0.3292,N2,0.341667
0.4604,0.3314,0.2589,0.319,N2,0.35
0.4521,0.2966,0.3099,0.3311,N2,0.358333
0.2889,0.335,0.1935,0.2183,N3,0.366667
0.2578,0.3083,0.2113,0.2377,N3,0.375
0.2806,0.2829,0.2477,0.2496,N3,0.383333
0.2829,0.3273,0.1741,0.26,N3,0.391667
0.281,0.3383,0.2,0.2361,N3,0.4
0.3163,0.2949,0.1656,0.2456,N3,0.408333
0.3009,0.3372,0.1981,0.2312,N3,0.416667
0.2944,0.2966,0.1819,0.2256,N3,0.425
0.2635,0.2885,0.2061,0.2607,N3,0.433333
0.3344,0.3029,0.1884,0.2155,N3,0.441667
0.2619,0.3197,0.2474,0.2604,N3,0.45
0.3311,0.3188,0.1685,0.2227,N3,0.458333
0.3161,0.3122,0.1928,0.216,N3,0.466667
0.2714,0.3293,0.2089,0.2224,N3,0.475
0.3186,0.3088,0.2223,0.2609,N3,0.483333
0.3016,0.3039,0.1994,0.2639,N3,0.491667
0.2872,0.3503,0.1657,0.224,N3,0.5
0.3236,0.321,0.1817,0.2613,N3,0.508333
0.2925,0.3203,0.2094,0.2216,N3,0.516667
0.3054,0.2838,0.178,0.2693,N3,0.525
0.2979,0.3158,0.1664,0.2418,N3,0.533333
0.2975,0.2839,0.2064,0.2555,N3,0.541667
0.3098,0.285,0.1975,0.2308,N3,0.55
0.2737,0.3387,0.2384,0.2343,N3,0.558333
0.3298,0.3064,0.2121,0.2247,N3,0.566667
0.2955,0.2673,0.2088,0.2518,N3,0.575
0.3326,0.3059,0.1934,0.2218,N3,0.583333
0.3209,0.3053,0.2166,0.24,N3,0.591667
0.3365,0.3384,0.1932,0.2576,N3,0.6
0.3236,0.2985,0.2277,0.2249,N3,0.608333
0.2686,0.3231,0.1895,0.2688,N3,0.616667
0.2972,0.286,0.2069,0.2283,N3,0.625
0.2845,0.2916,0.1922,0.2516,N3,0.633333
0.2827,0.3105,0.1702,0.2542,N3,0.641667
0.283,0.2897,0.1896,0.1785,N3,0.65
0.3256,0.3214,0.2159,0.2844,N3,0.658333
0.2973,0.2965,0.2112,0.2277,N3,0.666667
0.3085,0.2909,0.2107,0.2307,N3,0.675
0.3089,0.2874,0.2288,0.2453,N3,0.683333
0.2738,0.2723,0.1607,0.2578,N3,0.691667
0.3142,0.2482,0.2328,0.2463,N3,0.7
0.2744,0.2949,0.1822,0.2473,N3,0.708333
0.3055,0.2917,0.1925,0.2309,N3,0.716667
0.313,0.2825,0.2176,0.2561,N3,0.725
0.2873,0.3003,0.2006,0.2476,N3,0.733333
0.287,0.2887,0.1994,0.1984,N3,0.741667
0.3056,0.2783,0.2089,0.226,N3,0.75
0.2944,0.2989,0.1959,0.2299,N3,0.758333
0.307,0.2764,0.184,0.2729,N3,0.766667
0.3099,0.2977,0.2211,0.2329,N3,0.775
0.2931,0.2795,0.2177,0.2493,N3,0.783333
0.32,0.2803,0.2416,0.2213,N3,0.791667
0.266,0.2744,0.1847,0.2532,N3,0.8
0.2574,0.2905,0.2307,0.2395,N3,0.808333
0.3055,0.2601,0.2249,0.2006,N3,0.816667
0.3103,0.2897,0.1746,0.2624,N3,0.825
0.276,0.2934,0.1703,0.2049,N3,0.833333
0.3417,0.2905,0.2135,0.2424,N3,0.841667
0.2763,0.2765,0.2293,0.2186,N3,0.85
0.3098,0.2721,0.2072,0.2255,N3,0.858333
0.2935,0.2573,0.1914,0.235,N3,0.866667
0.2823,0.3049,0.2249,0.2417,N3,0.875
0.3283,0.291,0.1819,0.2491,N3,0.883333
0.2853,0.2943,0.2334,0.1932,N3,0.891667
0.264,0.317,0.2021,0.2473,N3,0.9
0.2882,0.2781,0.1813,0.256,N3,0.908333
0.3009,0.2952,0.1735,0.2418,N3,0.916667
0.3133,0.2577,0.2302,0.2614,N3,0.925
0.4511,0.2569,0.2725,0.3257,N2,0.933333
0.4697,0.246,0.2573,0.3309,N2,0.941667
0.4544,0.3157,0.2742,0.332,N2,0.95
0.4441,0.2909,0.2952,0.3463,N2,0.958333
0.462,0.2707,0.2823,0.3001,N2,0.966667
0.4463,0.3076,0.3068,0.3447,N2,0.975
0.4607,0.2558,0.2749,0.2933,N2,0.983333
0.4281,0.2848,0.2606,0.3342,N2,0.991667
0.4367,0.2767,0.2427,0.3285,N2,1.0
0.4271,0.2812,0.2536,0.3094,N2,1.008333
0.4701,0.2896,0.2756,0.323,N2,1.016667
0.4563,0.2591,0.2682,0.3493,N2,1.025
0.4435,0.2682,0.2959,0.3309,N2,1.033333
0.4626,0.275,0.263,0.3409,N2,1.041667
0.4572,0.2598,0.2545,0.3099,N2,1.05
0.4746,0.2583,0.2558,0.3476,N2,1.058333
0.4836,0.2402,0.2756,0.3707,N2,1.066667
0.4637,0.2634,0.2739,0.3595,N2,1.075
0.4432,0.2804,0.2969,0.3318,N2,1.083333
0.4957,0.2779,0.2768,0.3156,N2,1.091667
0.4356,0.2781,0.2937,0.3356,N2,1.1
0.4303,0.2511,0.2417,0.362,N2,1.108333
0.4596,0.2296,0.3025,0.3515,N2,1.116667
0.4465,0.2526,0.2446,0.3502,N2,1.125
0.4282,0.257,0.2697,0.3238,N2,1.133333
0.4338,0.2644,0.2745,0.334,N2,1.141667
0.4229,0.2504,0.2631,0.3339,N2,1.15
0.4293,0.2226,0.2781,0.3201,N2,1.158333
0.4581,0.26,0.2803,0.3249,N2,1.166667
0.4589,0.2632,0.2703,0.3197,N2,1.175
0.4236,0.281,0.2972,0.3128,N2,1.183333
0.4095,0.2714,0.2606,0.3348,N2,1.191667
0.4405,0.264,0.3106,0.313,N2,1.2
0.4113,0.2671,0.3047,0.3101,N2,1.208333
0.4897,0.2395,0.2948,0.2953,N2,1.216667
0.4394,0.2714,0.2863,0.341,N2,1.225
0.4267,0.259,0.265,0.3439,N2,1.233333
0.4378,0.2523,0.2672,0.3107,N2,1.241667
0.438,0.2662,0.2521,0.3603,N2,1.25
0.4779,0.2878,0.2839,0.3355,N2,1.258333
0.48,0.2403,0.2739,0.3092,N2,1.266667
0.4169,0.2719,0.2524,0.3563,N2,1.275
0.4716,0.2298,0.2557,0.3044,N2,1.283333
0.4724,0.2202,0.2771,0.3367,N2,1.291667
0.4086,0.2351,0.2682,0.3196,N2,1.3
0.4613,0.2606,0.3234,0.3399,N2,1.308333
0.4413,0.226,0.2934,0.3468,N2,1.316667
0.4217,0.2697,0.2645,0.3638,N2,1.325
0.4345,0.2425,0.2583,0.3241,N2,1.333333
0.4799,0.2419,0.3023,0.3253,N2,1.341667
0.4522,0.2451,0.2741,0.3393,N2,1.35
0.4332,0.2449,0.2823,0.3196,N2,1.358333
0.8923,0.2685,0.0357,0.0496,REM,1.366667
